,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,06-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,06-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,05-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,05-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,300.00,600.00,500.00,Rs./Quintal,03-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,03-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,300.00,600.00,500.00,Rs./Quintal,02-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,02-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,01-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,30-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,29-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,28-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,600.00,800.00,700.00,Rs./Quintal,27-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,600.00,800.00,700.00,Rs./Quintal,26-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,600.00,800.00,700.00,Rs./Quintal,25-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,200.00","1,100.00",Rs./Quintal,24-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,800.00,"1,000.00",950.00,Rs./Quintal,24-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,800.00,"1,000.00",950.00,Rs./Quintal,23-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,800.00",Rs./Quintal,22-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,200.00","1,100.00",Rs./Quintal,22-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,800.00,"1,000.00",950.00,Rs./Quintal,22-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,800.00",Rs./Quintal,21-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,200.00","1,100.00",Rs./Quintal,21-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,800.00,"1,000.00",950.00,Rs./Quintal,21-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,20-06-2025
